Mean Temp,Max Temp,Min Temp
0.6291666666666668,5.3,-1.8
-1.1125,2.6,-8.6
-12.358333333333334,-9.5,-14.7
-6.541666666666667,-4.1,-10.0
-4.6,-1.7,-7.6
-16.295833333333334,-8.9,-20.3
-18.983333333333334,-15.1,-23.3
-14.0,-7.1,-19.2
-5.858333333333333,-0.6,-10.8
-9.116666666666667,3.7,-14.9
-10.170833333333333,-3.6,-18.0
0.041666666666666664,5.2,-7.4
-12.112499999999999,-3.9,-18.5
-14.833333333333334,-11.6,-18.5
-14.166666666666666,-8.0,-19.5
-2.8000000000000003,4.0,-13.2
2.5833333333333335,5.0,1.0
-3.733333333333333,0.5,-5.5
-6.229166666666667,-3.0,-11.2
-1.4791666666666667,0.7,-5.7
0.3208333333333333,2.3,-2.1
-0.9,1.5,-3.4
-14.416666666666666,-9.0,-17.3
-7.641666666666667,-3.7,-10.5
-7.925,-6.5,-10.1
-13.645833333333334,-7.6,-18.6
-6.75,-4.1,-9.9
-11.141666666666666,-9.0,-14.4
-5.0125,0.4,-8.7
-5.970833333333334,0.6,-9.0
-4.295833333333333,-0.2,-9.8
13.429166666666667,15.3,11.2
10.908333333333333,13.7,6.7
7.479166666666667,9.8,4.9
4.683333333333334,8.1,-0.2
5.020833333333333,9.8,-1.9
6.9750000000000005,10.0,4.4
13.479166666666666,17.8,8.5
6.466666666666666,9.8,1.6
8.025,12.5,1.1
14.058333333333335,19.3,8.9
12.654166666666667,13.8,11.2
14.683333333333332,18.8,11.1
13.370833333333332,18.1,10.2
10.895833333333334,12.7,9.2
10.204166666666667,14.6,6.4
8.125,13.1,4.2
7.679166666666667,12.2,1.9
9.333333333333334,13.5,4.1
13.020833333333334,21.1,6.7
12.983333333333334,14.6,11.7
11.325000000000001,13.1,9.5
12.795833333333334,16.6,9.2
15.362499999999999,19.3,11.0
16.545833333333334,20.9,13.6
11.641666666666666,15.0,7.8
14.058333333333332,17.0,11.3
17.325,20.7,13.7
11.391666666666666,16.8,8.6
7.675,10.5,5.3
7.704166666666667,12.0,2.4
10.304166666666667,15.0,4.3
7.441666666666666,8.4,5.5
2.45,5.6,-1.4
2.658333333333333,7.0,0.3
9.370833333333334,17.5,-0.3
4.675,14.8,-1.5
0.8250000000000001,5.2,-5.2
-0.7624999999999998,2.6,-4.3
0.0166666666666667,5.5,-6.7
-0.8250000000000001,2.8,-3.2
-0.8833333333333333,4.5,-6.4
-0.21666666666666654,6.2,-4.6
4.8500000000000005,5.9,3.7
0.9541666666666666,5.9,-3.6
2.6125000000000003,8.3,-1.9
4.883333333333334,12.1,-1.4
7.004166666666666,12.1,1.2
1.6166666666666665,7.5,-2.1
-3.3041666666666667,-1.8,-4.8
-3.891666666666667,-0.8,-7.3
-3.5416666666666665,0.5,-9.0
-1.1375,1.8,-4.0
-4.783333333333333,-0.8,-9.4
4.75,5.5,3.5
-10.904166666666667,-8.8,-13.6
2.9250000000000003,3.8,1.7
0.325,1.9,-3.2
-1.0416666666666667,2.6,-5.5
-0.5083333333333334,2.4,-4.3
1.2083333333333333,5.2,-1.4
1.1749999999999998,4.8,-5.4
-9.170833333333333,-4.7,-12.5
-0.00416666666666667,2.6,-5.0
-5.95,0.7,-9.1
-5.966666666666666,-2.7,-11.2
-2.0708333333333333,2.1,-6.4
1.0416666666666667,3.3,-4.3
-8.7875,-5.3,-10.7
-7.770833333333333,-3.1,-10.1
0.0375,2.3,-3.0
0.7916666666666666,1.4,0.1
0.7083333333333334,1.3,0.3
3.0583333333333336,8.2,-4.3
-0.49583333333333335,1.2,-1.9
1.3166666666666667,2.4,0.7
-3.591666666666667,1.2,-7.8
-7.920833333333333,-6.8,-9.0
-9.395833333333334,-7.5,-11.1
-9.674999999999999,-7.1,-11.3
-11.245833333333332,-9.6,-14.2
-5.833333333333333,-3.7,-9.8
-6.7749999999999995,-4.2,-10.9
-11.345833333333333,-8.5,-16.0
3.9583333333333335,8.1,1.2
-11.370833333333332,-9.1,-13.8
-5.604166666666667,0.2,-11.8
7.841666666666666,11.9,2.9
2.7291666666666665,9.5,-1.9
-2.7458333333333336,-0.9,-5.9
0.625,3.9,-3.3
1.925,3.2,0.8
-0.8083333333333332,1.9,-3.6
-5.279166666666667,-3.6,-6.8
0.13333333333333333,1.4,-1.0
-11.637500000000001,-1.4,-14.5
-14.220833333333333,-10.3,-16.9
-6.991666666666667,-3.4,-10.8
-5.983333333333333,2.3,-14.2
0.5750000000000001,2.2,-1.9
2.0708333333333333,3.7,0.7
2.2624999999999997,3.5,0.9
-0.14583333333333334,1.8,-3.9
-4.329166666666667,-1.6,-6.7
-6.933333333333334,-5.0,-8.9
-6.258333333333333,-1.8,-11.0
-1.5999999999999999,2.2,-6.2
2.720833333333333,6.1,0.5
1.2166666666666666,2.7,-1.0
-0.4791666666666667,1.1,-3.8
-2.35,1.0,-7.6
-9.3375,-6.8,-12.1
-7.454166666666667,-4.9,-9.8
-6.5125,-4.2,-10.0
-6.879166666666666,-2.9,-13.1
-7.154166666666666,-2.9,-12.6
-7.5125,-4.0,-11.6
-8.85,-1.5,-15.7
1.7833333333333332,3.3,-0.8
-4.929166666666666,1.9,-11.8
-7.120833333333334,-1.6,-14.0
-1.3291666666666666,2.7,-5.4
-4.3875,-2.7,-5.7
-3.7624999999999997,-1.6,-7.1
3.6916666666666664,10.9,-3.2
7.383333333333333,12.4,1.5
4.454166666666667,7.5,1.1
0.8083333333333335,2.2,-0.6
1.2583333333333333,4.0,-0.6
2.4791666666666665,4.3,0.6
5.308333333333334,10.5,-0.1
