Match_ID,Team,Opponent,Bowler_Name,Overs,Maidens,Runs_Conceded,Wickets,Economy,Dots
1826,Scotland,West Indies,Safyaan Sharif,3.3,0,23,1,6.57,7
1826,Scotland,West Indies,Michael Leask,4.0,0,15,2,3.75,11
1825,Netherlands,United Arab Emirates,Fred Klaassen,4.0,0,13,2,3.25,18
1825,Netherlands,United Arab Emirates,Tim Pringle,4.0,0,13,1,3.25,11
1825,Netherlands,United Arab Emirates,Logan van Beek,2.0,0,19,0,9.5,5
1825,Netherlands,United Arab Emirates,Bas de Leede,3.0,0,19,3,6.33,9
1825,Netherlands,United Arab Emirates,Paul van Meekeren,4.0,0,21,0,5.25,11
1825,Netherlands,United Arab Emirates,Roelof van der Merwe,3.0,0,19,1,6.33,7
1825,United Arab Emirates,Netherlands,Junaid Siddique,4.0,0,24,3,6.0,10
1825,United Arab Emirates,Netherlands,Basil Hameed,1.0,0,7,1,7.0,4
1825,United Arab Emirates,Netherlands,Aayan Afzal Khan,3.0,0,15,1,5.0,8
1825,United Arab Emirates,Netherlands,Karthik Meiyappan,4.0,0,22,1,5.5,11
1825,United Arab Emirates,Netherlands,Zahoor Khan,4.0,0,11,1,2.75,14
1825,United Arab Emirates,Netherlands,Zawar Farid,2.5,0,24,0,8.47,2
1825,United Arab Emirates,Netherlands,Kashif Daud,1.0,0,5,0,5.0,1
1823,Sri Lanka,Namibia,Maheesh Theekshana,4.0,0,23,1,5.75,7
1823,Sri Lanka,Namibia,Dushmantha Chameera,4.0,0,39,1,9.75,6
1823,Sri Lanka,Namibia,Pramod Madushan,4.0,0,37,2,9.25,6
1823,Sri Lanka,Namibia,Chamika Karunaratne,4.0,0,36,1,9.0,7
1823,Sri Lanka,Namibia,Wanindu Hasaranga,4.0,0,27,1,6.75,8
1823,Namibia,Sri Lanka,Gerhard Erasmus,1.0,0,8,0,8.0,1
1823,Namibia,Sri Lanka,David Wiese,4.0,0,16,2,4.0,13
1823,Namibia,Sri Lanka,Bernard Scholtz,4.0,0,18,2,4.5,10
1823,Namibia,Sri Lanka,Ben Shikongo,3.0,1,22,2,7.33,6
1823,Namibia,Sri Lanka,JJ Smit,3.0,0,16,1,5.33,7
1823,Namibia,Sri Lanka,Jan Frylinck,4.0,0,26,2,6.5,10
