Bat_Name,Team,Bat_Pos,No. Of Innings,Runs_Scored,4s,6s,Balls,Out,Not Out,SR,Avg
Vikramjit Singh,Netherlands,1,5,57,5,2,62,5,0,91.94,11.4
Virat Kohli,India,3,6,296,25,8,217,3,3,136.41,98.66666666666667
Vriitya Aravind,United Arab Emirates,2,3,48,3,0,71,3,0,67.61,16.0
Wanindu Hasaranga,Sri Lanka,7,6,25,2,0,34,5,1,73.53,5.0
Wayne Parnell,South Africa,7,4,5,0,0,13,2,2,38.46,2.5
Wellington Masakadza,Zimbabwe,8,1,1,0,0,7,1,0,14.29,1.0
Wessly Madhevere,Zimbabwe,1,8,106,15,2,83,7,1,127.71,15.142857142857142
Yasir Ali,Bangladesh,5,3,5,0,0,9,2,1,55.56,2.5
Zahoor Khan,United Arab Emirates,11,1,1,0,0,1,0,1,100.0,inf
Zane Green,Namibia,8,1,2,0,0,3,1,0,66.67,2.0
Zawar Farid,United Arab Emirates,5,1,2,0,0,4,1,0,50.0,2.0
