Bowler_Name,Team,No. Of Innings,Overs,Maidens,Runs_Conceded,Wickets,Economy,Dots
Shadab Khan,Pakistan,7,26.0,0,165,11,6.35,59
Shaheen Shah Afridi,Pakistan,7,25.1,0,155,11,6.18,70
Shakib Al Hasan,Bangladesh,5,19.0,0,167,6,8.79,27
Shariz Ahmad,Netherlands,2,4.0,0,32,1,8.0,7
Shoriful Islam,Bangladesh,1,4.0,0,57,0,14.25,7
Sikandar Raza,Zimbabwe,8,24.0,0,156,10,6.5,46
Simi Singh,Ireland,4,9.0,0,78,3,8.67,14
Soumya Sarkar,Bangladesh,1,3.0,0,29,1,9.67,5
Tabraiz Shamsi,South Africa,2,8.0,0,56,4,7.0,20
Taskin Ahmed,Bangladesh,5,18.0,1,131,8,7.28,64
Tendai Chatara,Zimbabwe,7,23.0,1,155,4,6.74,58
Tim Pringle,Netherlands,6,17.0,0,102,3,6.0,38
Tim Southee,New Zealand,5,17.2,1,114,7,6.63,52
Timm van der Gugten,Netherlands,2,6.0,0,60,1,10.0,7
Trent Boult,New Zealand,5,20.0,0,148,8,7.4,56
Wanindu Hasaranga,Sri Lanka,8,31.0,1,199,15,6.42,74
Wayne Parnell,South Africa,5,16.0,1,102,5,6.38,48
Wellington Masakadza,Zimbabwe,1,2.0,0,12,0,6.0,5
Wessly Madhevere,Zimbabwe,2,3.0,0,25,0,8.33,1
Zahoor Khan,United Arab Emirates,3,12.0,0,57,5,4.75,39
Zawar Farid,United Arab Emirates,1,2.5,0,24,0,9.6,2
